tanggal,komoditas,harga
2018-01-02,beras medium/kg,11340
2018-01-02,gula pasir/kg,13740
2018-01-02,minyak goreng bimoli botol/liter,14040
2018-01-02,minyak goreng curah/liter,12388
2018-01-02,daging sapi lokal paha belakang/kg,117660
2018-01-02,daging sapi lokal daging has luar (sirloin)/kg,118333
2018-01-02,daging sapi lokal daging sandung lamur (brisket)/kg,89167
2018-01-02,daging sapi lokal daging tetelan/kg,70833
2018-01-02,daging sapi impor beku/kg,120000
2018-01-02,daging sapi lokal has dalam/kg,143333
2018-01-02,ayam boiler/ekor,39740
2018-01-02,ayam kampung/ekor,55075
2018-01-02,telur ayam ras/kg,26150
2018-01-02,telur ayam kampung/butir,2100
2018-01-02,susu kental manis kaleng merk bendera/buah,12340
2018-01-02,susu kental manis kaleng merk indomilk/buah,10300
2018-01-02,susu bubuk kaleng merk bendera/buah,43667
2018-01-02,susu bubuk kaleng merk indomilk/buah,42000
2018-01-02,jagung pipilan kecil/kg,16833
2018-01-02,garam beryodium bata/250 gr,3220
2018-01-02,garam beryodium halus/kg,11260
2018-01-02,tepung terigu segitiga biru/kg,10160
2018-01-02,kacang kedelai eks impor/kg,12300
2018-01-02,kacang kedelai lokal/kg,3333
2018-01-02,indomie rasa kari ayam/buah,2740
2018-01-02,cabai merah keriting/kg,37140
2018-01-02,cabai merah besar/kg,37260
2018-01-02,cabai rawit merah/kg,56240
2018-01-02,cabai rawit hijau/kg,34800
2018-01-02,bawang merah (medium)/kg,26800
2018-01-02,bawang putih impor (kating)/kg,28560
2018-01-02,bawang putih impor (honan)/kg,25000
2018-01-02,ikan teri asin/kg,109400
2018-01-02,ikan kembung/kg,36660
2018-01-02,kacang hijau/kg,22340
2018-01-02,kacang tanah/kg,25500
2018-01-02,ketela pohon/kg,5060
2018-01-03,beras medium/kg,11440
2018-01-03,gula pasir/kg,13840
2018-01-03,minyak goreng bimoli botol/liter,14240
2018-01-03,minyak goreng curah/liter,12450
2018-01-03,daging sapi lokal paha belakang/kg,117660
2018-01-03,daging sapi lokal daging has luar (sirloin)/kg,117500
2018-01-03,daging sapi lokal daging sandung lamur (brisket)/kg,89167
2018-01-03,daging sapi lokal daging tetelan/kg,75000
2018-01-03,daging sapi impor beku/kg,120000
2018-01-03,daging sapi lokal has dalam/kg,141667
2018-01-03,ayam boiler/ekor,38940
2018-01-03,ayam kampung/ekor,55075
2018-01-03,telur ayam ras/kg,26200
2018-01-03,telur ayam kampung/butir,2150
2018-01-03,susu kental manis kaleng merk bendera/buah,12240
2018-01-03,susu kental manis kaleng merk indomilk/buah,10400
2018-01-03,susu bubuk kaleng merk bendera/buah,43667
2018-01-03,susu bubuk kaleng merk indomilk/buah,42000
2018-01-03,jagung pipilan kecil/kg,16833
2018-01-03,garam beryodium bata/250 gr,3320
2018-01-03,garam beryodium halus/kg,10660
2018-01-03,tepung terigu segitiga biru/kg,10360
2018-01-03,kacang kedelai eks impor/kg,12300
2018-01-03,kacang kedelai lokal/kg,3333
2018-01-03,indomie rasa kari ayam/buah,2740
2018-01-03,cabai merah keriting/kg,38640
2018-01-03,cabai merah besar/kg,37260
2018-01-03,cabai rawit merah/kg,58240
2018-01-03,cabai rawit hijau/kg,35300
2018-01-03,bawang merah (medium)/kg,27800
2018-01-03,bawang putih impor (kating)/kg,30260
2018-01-03,bawang putih impor (honan)/kg,25000
2018-01-03,ikan teri asin/kg,108400
2018-01-03,ikan kembung/kg,35660
2018-01-03,kacang hijau/kg,22540
2018-01-03,kacang tanah/kg,25700
2018-01-03,ketela pohon/kg,5060
2018-01-04,beras medium/kg,11490
2018-01-04,gula pasir/kg,13390
2018-01-04,minyak goreng bimoli botol/liter,14240
2018-01-04,minyak goreng curah/liter,12575
2018-01-04,daging sapi lokal paha belakang/kg,117660
2018-01-04,daging sapi lokal daging has luar (sirloin)/kg,118333
2018-01-04,daging sapi lokal daging sandung lamur (brisket)/kg,95000
2018-01-04,daging sapi lokal daging tetelan/kg,80000
2018-01-04,daging sapi impor beku/kg,120000
2018-01-04,daging sapi lokal has dalam/kg,146667
2018-01-04,ayam boiler/ekor,37440
2018-01-04,ayam kampung/ekor,53825
2018-01-04,telur ayam ras/kg,26300
2018-01-04,telur ayam kampung/butir,2100
2018-01-04,susu kental manis kaleng merk bendera/buah,11940
2018-01-04,susu kental manis kaleng merk indomilk/buah,10600
2018-01-04,susu bubuk kaleng merk bendera/buah,43667
2018-01-04,susu bubuk kaleng merk indomilk/buah,42000
2018-01-04,jagung pipilan kecil/kg,16833
2018-01-04,garam beryodium bata/250 gr,3000
2018-01-04,garam beryodium halus/kg,13060
2018-01-04,tepung terigu segitiga biru/kg,9860
2018-01-04,kacang kedelai eks impor/kg,12050
2018-01-04,kacang kedelai lokal/kg,3333
2018-01-04,indomie rasa kari ayam/buah,2740
2018-01-04,cabai merah keriting/kg,39340
2018-01-04,cabai merah besar/kg,39260
2018-01-04,cabai rawit merah/kg,61140
2018-01-04,cabai rawit hijau/kg,41400
2018-01-04,bawang merah (medium)/kg,28400
2018-01-04,bawang putih impor (kating)/kg,28660
2018-01-04,bawang putih impor (honan)/kg,27500
2018-01-04,ikan teri asin/kg,106000
2018-01-04,ikan kembung/kg,35860
2018-01-04,kacang hijau/kg,22540
2018-01-04,kacang tanah/kg,25600
2018-01-04,ketela pohon/kg,5060
2018-01-05,beras medium/kg,11740
2018-01-05,gula pasir/kg,13640
2018-01-05,minyak goreng bimoli botol/liter,14040
2018-01-05,minyak goreng curah/liter,12200
2018-01-05,daging sapi lokal paha belakang/kg,119660
2018-01-05,daging sapi lokal daging has luar (sirloin)/kg,120000
2018-01-05,daging sapi lokal daging sandung lamur (brisket)/kg,102500
2018-01-05,daging sapi lokal daging tetelan/kg,76667
2018-01-05,daging sapi impor beku/kg,120000
2018-01-05,daging sapi lokal has dalam/kg,146667
2018-01-05,ayam boiler/ekor,36940
2018-01-05,ayam kampung/ekor,78825
2018-01-05,telur ayam ras/kg,26450
2018-01-05,telur ayam kampung/butir,2120
2018-01-05,susu kental manis kaleng merk bendera/buah,11940
2018-01-05,susu kental manis kaleng merk indomilk/buah,10300
2018-01-05,susu bubuk kaleng merk bendera/buah,43667
2018-01-05,susu bubuk kaleng merk indomilk/buah,42000
2018-01-05,jagung pipilan kecil/kg,15167
2018-01-05,garam beryodium bata/250 gr,3100
2018-01-05,garam beryodium halus/kg,11260
2018-01-05,tepung terigu segitiga biru/kg,9610
2018-01-05,kacang kedelai eks impor/kg,12800
2018-01-05,kacang kedelai lokal/kg,3333
2018-01-05,indomie rasa kari ayam/buah,2800
2018-01-05,cabai merah keriting/kg,42340
2018-01-05,cabai merah besar/kg,40260
2018-01-05,cabai rawit merah/kg,57340
2018-01-05,cabai rawit hijau/kg,40400
2018-01-05,bawang merah (medium)/kg,27900
2018-01-05,bawang putih impor (kating)/kg,28960
2018-01-05,bawang putih impor (honan)/kg,27500
2018-01-05,ikan teri asin/kg,102000
2018-01-05,ikan kembung/kg,35360
2018-01-05,kacang hijau/kg,23200
2018-01-05,kacang tanah/kg,25700
2018-01-05,ketela pohon/kg,4960
2018-01-08,beras medium/kg,11740
2018-01-08,gula pasir/kg,13640
2018-01-08,minyak goreng bimoli botol/liter,13440
2018-01-08,minyak goreng curah/liter,12200
2018-01-08,daging sapi lokal paha belakang/kg,119660
2018-01-08,daging sapi lokal daging has luar (sirloin)/kg,120000
2018-01-08,daging sapi lokal daging sandung lamur (brisket)/kg,102500
2018-01-08,daging sapi lokal daging tetelan/kg,76667
2018-01-08,daging sapi impor beku/kg,120000
2018-01-08,daging sapi lokal has dalam/kg,146667
2018-01-08,ayam boiler/ekor,36940
2018-01-08,ayam kampung/ekor,77575
2018-01-08,telur ayam ras/kg,26450
2018-01-08,telur ayam kampung/butir,2120
2018-01-08,susu kental manis kaleng merk bendera/buah,11940
